meal_id,cycle_phase,meal_type,meal_name,description,key_nutrients,calories,iron_mg,magnesium_mg,omega3_g,vitamin_c_mg,prep_time_min,dietary_tags
MEAL-0001,menstrual,breakfast,Iron-Boosted Spinach Omelette,"Eggs scrambled with baby spinach, cherry tomatoes, and feta cheese. Rich in iron and protein to support energy during menstruation.",iron;protein;folate,251,4.5,62.1,0.54,37.4,22,vegetarian
MEAL-0002,menstrual,breakfast,Dark Chocolate Overnight Oats,"Rolled oats soaked in oat milk with dark chocolate chips, chia seeds, and banana. Provides magnesium and slow-release energy.",magnesium;iron;fiber,244,7.2,84.6,0.76,28.2,13,vegan
MEAL-0003,menstrual,breakfast,Ginger Turmeric Smoothie Bowl,"Blended mango, banana, ginger, and turmeric with almond milk. Topped with pumpkin seeds and hemp hearts. Anti-inflammatory and soothing.",vitamin_c;iron;omega3,486,8.9,110.6,0.8,22.8,14,vegan
MEAL-0004,menstrual,breakfast,Lentil and Spinach Breakfast Bowl,"Red lentils cooked with spinach, cumin, and topped with a poached egg. A warming iron-rich start to the day.",iron;protein;fiber,258,7.0,56.1,0.53,43.2,18,vegetarian
MEAL-0005,menstrual,breakfast,Salmon Avocado Toast,"Smoked salmon on wholegrain toast with avocado, lemon, and black pepper. High in omega-3 for anti-inflammatory support.",omega3;protein;vitamin_d,365,8.2,53.3,0.92,17.2,17,pescatarian
MEAL-0006,menstrual,breakfast,Beetroot and Berry Smoothie,"Beetroot, mixed berries, flaxseed, and oat milk blended. Iron-boosting and refreshing morning drink.",iron;antioxidants;fiber,391,4.6,99.1,0.7,18.9,21,vegan
MEAL-0007,menstrual,breakfast,Fortified Cereal with Dried Apricots,"Iron-fortified cereal with dried apricots, pumpkin seeds, and almond milk. Easy iron-rich breakfast.",iron;fiber;vitamin_a,395,6.2,89.9,0.46,34.0,10,vegan
MEAL-0008,menstrual,snack,Trail Mix with Dark Chocolate,"Almonds, cashews, dried apricots, pumpkin seeds, and dark chocolate pieces. Iron and magnesium-rich snack.",iron;magnesium;healthy_fats,175,6.0,58.5,0.54,48.2,13,vegan
MEAL-0009,menstrual,snack,Ginger Tea with Honey,Fresh ginger steeped in hot water with raw honey and lemon. Soothes cramps and aids digestion.,antioxidants;anti_inflammatory,234,5.9,115.1,0.48,18.3,5,vegetarian
MEAL-0010,menstrual,snack,Beetroot Hummus with Veggies,Roasted beetroot blended with chickpeas and tahini. Served with carrot and cucumber sticks. Rich in iron and folate.,iron;folate;fiber,159,7.5,86.2,0.61,16.1,9,vegan
MEAL-0011,menstrual,snack,Warm Cinnamon Apple Slices,Sliced apple baked with cinnamon and a drizzle of almond butter. Provides fiber and comfort.,fiber;vitamin_c;healthy_fats,247,7.6,62.5,0.86,45.5,14,vegan
MEAL-0012,menstrual,snack,Energy Date Balls,"Dates, cacao, almond butter, and rolled oats blended and rolled. Natural sugar and iron boost.",iron;magnesium;fiber,131,7.6,54.4,0.8,19.4,7,vegan
MEAL-0013,menstrual,snack,Molasses and Tahini Dip,"Blackstrap molasses mixed with tahini and sesame seeds. Extremely high in iron, served with crackers.",iron;calcium;magnesium,113,4.5,59.6,0.52,21.9,9,vegan
