meal_id,meal_name,cycle_phase,meal_type,dietary_tags,contains_nuts,contains_dairy,contains_gluten,contains_shellfish,contains_eggs,contains_soy,contains_sesame,allergens
MEAL-0001,Iron-Boosted Spinach Omelette,menstrual,breakfast,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0002,Dark Chocolate Overnight Oats,menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0003,Ginger Turmeric Smoothie Bowl,menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0004,Lentil and Spinach Breakfast Bowl,menstrual,breakfast,vegetarian,false,false,false,false,false,false,false,
MEAL-0005,Salmon Avocado Toast,menstrual,breakfast,pescatarian,false,false,true,false,false,false,false,gluten
MEAL-0006,Beetroot and Berry Smoothie,menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0007,Fortified Cereal with Dried Apricots,menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0008,Trail Mix with Dark Chocolate,menstrual,snack,vegan,false,false,false,false,false,true,false,soy
MEAL-0009,Ginger Tea with Honey,menstrual,snack,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0010,Beetroot Hummus with Veggies,menstrual,snack,vegan,false,false,false,false,false,false,false,
MEAL-0011,Warm Cinnamon Apple Slices,menstrual,snack,vegan,false,false,false,false,false,true,false,soy
MEAL-0012,Energy Date Balls,menstrual,snack,vegan,false,false,false,false,false,true,false,soy
MEAL-0013,Molasses and Tahini Dip,menstrual,snack,vegan,false,false,false,false,false,true,true,soy;sesame
MEAL-0014,Spinach and Cheese Muffin,menstrual,snack,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0015,Lentil and Kale Soup,menstrual,lunch,vegan,false,false,false,false,false,false,false,
MEAL-0016,Salmon Teriyaki Rice Bowl,menstrual,lunch,pescatarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0017,Spinach and Chickpea Curry,menstrual,lunch,vegan,false,false,false,false,false,false,false,
