meal_id,food_name,grams,ingredient_role,is_primary
MEAL-0177,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,true
MEAL-0177,"Quinoa, cooked",120.0,grain,false
MEAL-0177,"Spinach, raw",80.0,veg,false
MEAL-0178,"Kale, raw",80.0,veg,true
MEAL-0178,"Seeds, roasted and toasted, whole, sesame seeds",20.0,nut,false
MEAL-0178,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0178,"Quinoa, cooked",120.0,grain,false
MEAL-0179,"Seeds, roasted and toasted, whole, sesame seeds",20.0,nut,true
MEAL-0179,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0179,"Quinoa, cooked",120.0,grain,false
MEAL-0179,"Spinach, raw",80.0,veg,false
MEAL-0180,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,true
MEAL-0180,"Quinoa, cooked",120.0,grain,false
MEAL-0180,"Spinach, raw",80.0,veg,false
MEAL-0181,"Nuts, raw, cashew nuts",20.0,nut,true
MEAL-0181,"Cocoa, unsweetened, dry powder",8.0,extra,false
MEAL-0181,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0181,"Quinoa, cooked",120.0,grain,false
MEAL-0181,"Spinach, raw",80.0,veg,false
MEAL-0182,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,true
MEAL-0182,"Quinoa, cooked",120.0,grain,false
MEAL-0182,"Spinach, raw",80.0,veg,false
MEAL-0183,"Crustaceans, raw (not previously frozen), shrimp",90.0,protein,true
MEAL-0183,"Avocados, Florida, raw",90.0,fruit,false
MEAL-0183,"Quinoa, cooked",120.0,grain,false
MEAL-0184,"Pasta, cooked, whole-wheat",120.0,grain,true
MEAL-0184,"Spinach, raw",80.0,veg,false
MEAL-0184,"Nuts, english, walnuts",20.0,nut,false
MEAL-0184,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0185,"Lamb, raw, ground",120.0,protein,true
MEAL-0185,"Quinoa, cooked",120.0,grain,false
MEAL-0185,"Spinach, raw",80.0,veg,false
MEAL-0186,"Edamame, prepared, frozen",150.0,protein_veg,true
MEAL-0186,"Rice, enriched, raw, medium-grain, white",120.0,grain,false
MEAL-0186,"Spinach, raw",80.0,veg,false
MEAL-0187,Oats,120.0,grain,true
MEAL-0187,"Beets, raw",80.0,veg,false
MEAL-0187,"Cheese, soft type, goat",30.0,dairy,false
MEAL-0187,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0188,"Crustaceans, raw, blue, crab",90.0,protein,true
MEAL-0188,"Corn, raw, white, sweet",80.0,veg,false
MEAL-0188,"Quinoa, cooked",120.0,grain,false
MEAL-0189,"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",150.0,protein_veg,true
MEAL-0189,"Seeds, without salt, roasted, pumpkin and squash seed kernels",20.0,nut,false
MEAL-0189,"Quinoa, cooked",120.0,grain,false
MEAL-0189,"Spinach, raw",80.0,veg,false
MEAL-0190,"Mollusks, raw, Pacific, oyster",90.0,protein,true
MEAL-0190,"Quinoa, cooked",120.0,grain,false
MEAL-0190,"Spinach, raw",80.0,veg,false
MEAL-0191,"Chicken, raw, ground",120.0,protein,true
MEAL-0191,"Carrots, raw",80.0,veg,false
MEAL-0191,"Quinoa, cooked",120.0,grain,false
MEAL-0192,"Fish, raw, bluefin, fresh, tuna",90.0,protein,true
MEAL-0192,"Seeds, roasted and toasted, whole, sesame seeds",20.0,nut,false
MEAL-0192,"Quinoa, cooked",120.0,grain,false
MEAL-0192,"Spinach, raw",80.0,veg,false
MEAL-0193,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0193,"Quinoa, cooked",120.0,grain,false
MEAL-0194,"Lamb, raw, ground",120.0,protein,true
MEAL-0194,"Couscous, dry",120.0,grain,false
MEAL-0194,"Spinach, raw",80.0,veg,false
MEAL-0195,"Crustaceans, raw, blue, crab",90.0,protein,true
MEAL-0195,"Pasta, cooked, whole-wheat",120.0,grain,false
MEAL-0195,"Spinach, raw",80.0,veg,false
MEAL-0196,"Beef, raw, ground, grass-fed",120.0,protein,true
MEAL-0196,"Nuts, raw, cashew nuts",20.0,nut,false
MEAL-0196,"Quinoa, cooked",120.0,grain,false
MEAL-0196,"Spinach, raw",80.0,veg,false
MEAL-0197,"Sweet potato, unprepared, raw",80.0,veg,true
MEAL-0197,"Potatoes, skin, raw",80.0,veg,false
MEAL-0197,"Bananas, raw",90.0,fruit,false
MEAL-0197,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0197,Oats,120.0,grain,false
MEAL-0198,Oats,120.0,grain,true
MEAL-0198,"Bananas, raw",90.0,fruit,false
MEAL-0198,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0199,"Rice, raw, long-grain, brown",120.0,grain,true
MEAL-0199,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0199,"Bananas, raw",90.0,fruit,false
MEAL-0200,"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",150.0,protein_veg,true
MEAL-0200,Oats,120.0,grain,false
MEAL-0200,"Bananas, raw",90.0,fruit,false
MEAL-0201,Oats,120.0,grain,true
MEAL-0201,Millet flour,120.0,grain,false
MEAL-0201,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0201,"Bananas, raw",90.0,fruit,false
MEAL-0202,"Buckwheat groats, dry, roasted",120.0,grain,true
MEAL-0202,"Bananas, raw",90.0,fruit,false
MEAL-0202,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0203,"Beans, raw, mature seeds, black",150.0,protein_veg,true
MEAL-0203,"Tortillas, corn, ready-to-bake or -fry",120.0,grain,false
MEAL-0203,"Avocados, Florida, raw",90.0,fruit,false
MEAL-0204,"Bananas, raw",90.0,fruit,true
MEAL-0204,"Cocoa, unsweetened, dry powder",8.0,extra,false
MEAL-0204,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0204,"Quinoa, cooked",120.0,grain,false
MEAL-0205,"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",150.0,protein_veg,true
MEAL-0205,"Quinoa, cooked",120.0,grain,false
MEAL-0205,"Spinach, raw",80.0,veg,false
MEAL-0206,"Yogurt, nonfat, plain, Greek",150.0,dairy,true
MEAL-0206,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0206,"Quinoa, cooked",120.0,grain,false
MEAL-0206,"Spinach, raw",80.0,veg,false
MEAL-0207,"Bananas, raw",90.0,fruit,true
MEAL-0207,"Nuts, english, walnuts",20.0,nut,false
MEAL-0207,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0207,"Quinoa, cooked",120.0,grain,false
MEAL-0208,"Nuts, almonds",20.0,nut,true
MEAL-0208,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0208,"Quinoa, cooked",120.0,grain,false
MEAL-0208,"Spinach, raw",80.0,veg,false
MEAL-0209,"Seeds, without salt, roasted, pumpkin and squash seed kernels",20.0,nut,true
MEAL-0209,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0209,"Quinoa, cooked",120.0,grain,false
MEAL-0209,"Spinach, raw",80.0,veg,false
MEAL-0210,"Bananas, raw",90.0,fruit,true
MEAL-0210,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0210,"Quinoa, cooked",120.0,grain,false
MEAL-0211,"Beans, raw, mature seeds, black",150.0,protein_veg,true
