phase,nutrient,evidence_level,tagline
Menstruation,Omega-3s (EPA/DHA),Some evidence,May help reduce period cramps
Menstruation,Iron,Well established,Supports energy levels during your period
Menstruation,Vitamin C,Well established,Helps your body absorb iron more effectively
Follicular,Protein,General health guidance,Builds your nutritional foundations for the cycle ahead
Follicular,Complex carbohydrates,General health guidance,Supports stable energy as you move through your cycle
Follicular,Folate,Well established,Essential for cell renewal and overall health
Luteal,Calcium,Good evidence,May help reduce PMS mood symptoms
Luteal,Magnesium,Some evidence,May help ease PMS symptoms and cramping
Luteal,Protein,Some evidence,Helps keep you fuller for longer as appetite increases
Luteal,Dietary fibre,General health guidance,Supports satiety and helps manage bloating
Luteal,Potassium,Limited evidence,Helps reduce bloating and water retention
Luteal,Sodium (moderate),Limited evidence,Keeping sodium low helps reduce bloating
